record_id,region,location_name,latitude,longitude,month,year,habitat_class,flooded_area_km2,water_depth_cm,inundation_duration_days,vegetation_type,canopy_cover_percent,floating_vegetation_present,substrate_type,water_flow_rate,nutrient_level,suitable_for_aquatic_plants,suitable_for_flood_forest_trees,suitable_for_macrophytes,suitable_for_rice_cultivation,habitat_productivity_index
153,Amazon_Mainstem,Site_0153,-4.4423,-62.8323,Dec,1979,Flooded_Forest,35563,226,2,Flooded_Shrubs,86,Yes,Mud,Slow,High,No,Yes,No,No,100
154,Amazon_Mainstem_West,Site_0154,-6.1436,-60.9638,Jun,1988,Open_Water,44059,690,30,None,0,No,Clay,Moderate,Moderate,Yes,No,No,No,40
155,Amazon_Mainstem,Site_0155,-7.8644,-57.0309,Mar,1983,River_Channel,4818,954,30,None,0,No,Clay,Fast,Moderate,Yes,No,No,No,25
156,Amazon_Central,Site_0156,-4.172,-58.5813,Oct,1984,Flooded_Forest,49262,375,8,Flooded_Trees,76,Yes,Clay,Stagnant,Very_High,No,Yes,No,No,80
157,Amazon_Mainstem_West,Site_0157,-7.1854,-70.9074,Dec,1986,River_Channel,5235,1368,30,None,0,No,Mud,Fast,Low,Yes,No,No,No,25
158,Amazon_Mainstem,Site_0158,-5.6369,-65.3192,Oct,1991,Macrophyte,41451,210,20,Emergent_Vegetation,55,Yes,Mud,Stagnant,High,Yes,No,Yes,No,95
159,Amazon_Mainstem_East,Site_0159,-4.9335,-54.2864,Sep,1991,Macrophyte,45895,129,6,Aquatic_Grasses,41,Yes,Clay,Slow,Moderate,No,Marginal,Yes,Yes,80
160,Amazon_Mainstem_West,Site_0160,-0.4057,-58.3176,Aug,1984,Macrophyte,54165,113,20,Aquatic_Grasses,43,Yes,Sand,Stagnant,Moderate,Yes,Marginal,Yes,Yes,75
161,Amazon_Mainstem,Site_0161,-4.0292,-60.6923,Feb,1980,Flooded_Forest,114062,144,29,Flooded_Shrubs,90,No,Sand,Stagnant,High,No,Yes,No,No,95
162,Amazon_Mainstem_East,Site_0162,-4.6462,-69.4906,Oct,1989,Macrophyte,29576,179,12,Aquatic_Grasses,72,Yes,Organic_Matter,Slow,High,No,No,Yes,Yes,100
163,Amazon_Central,Site_0163,-6.1147,-65.2162,Sep,1995,Flooded_Forest,62201,120,3,Flooded_Trees,87,No,Mud,Stagnant,Very_High,No,Yes,No,No,95
164,Amazon_Mainstem_West,Site_0164,-7.6624,-57.8332,Sep,1979,Open_Water,25529,480,30,None,0,No,Mud,Slow,Moderate,Yes,No,No,No,55
165,Amazon_Mainstem,Site_0165,-2.803,-60.3239,Nov,1984,Open_Water,27697,734,30,None,0,No,Organic_Matter,Moderate,Moderate,Yes,No,No,No,50
166,Amazon_Mainstem,Site_0166,-0.3481,-61.998,Oct,1979,River_Channel,4002,1077,30,None,0,No,Sand,Fast,Moderate,Yes,No,No,No,25
167,Amazon_Mainstem_East,Site_0167,-7.432,-70.5099,Oct,1988,Flooded_Forest,32630,563,5,Flooded_Trees,72,No,Mixed,Stagnant,Very_High,No,Yes,No,No,65
168,Amazon_Mainstem_East,Site_0168,-0.1303,-65.3926,Nov,1980,Flooded_Forest,77554,589,12,Flooded_Trees,83,No,Organic_Matter,Stagnant,High,No,Yes,No,No,75
169,Amazon_Mainstem_West,Site_0169,-2.9106,-64.0809,Nov,1983,Flooded_Forest,49901,154,9,Flooded_Shrubs,63,No,Organic_Matter,Slow,Very_High,No,Yes,Marginal,No,100
170,Amazon_Central,Site_0170,-0.7818,-59.9079,May,1982,Macrophyte,55719,99,25,Floating_Macrophytes,70,Yes,Mud,Stagnant,High,Yes,Marginal,Yes,Yes,80
171,Amazon_Mainstem_East,Site_0171,-7.0691,-66.2062,May,1991,Macrophyte,49556,91,26,Aquatic_Grasses,86,Yes,Mixed,Stagnant,High,Yes,Marginal,Yes,Yes,80
172,Amazon_Mainstem_West,Site_0172,-7.4728,-63.1846,Jun,1988,Flooded_Forest,124607,595,26,Flooded_Shrubs,87,No,Mixed,Stagnant,Very_High,No,Yes,No,No,65
173,Amazon_Mainstem_West,Site_0173,-1.8001,-65.2675,Jun,1996,Flooded_Forest,139875,299,30,Flooded_Shrubs,67,No,Clay,Stagnant,High,No,Yes,Marginal,No,95
174,Amazon_Central,Site_0174,-7.0937,-61.1149,Apr,1995,River_Channel,5885,823,30,None,0,No,Mixed,Fast,Low,Yes,No,No,No,25
175,Amazon_Mainstem,Site_0175,-7.5565,-64.368,Dec,1995,River_Channel,4368,805,30,None,0,No,Sand,Fast,Moderate,Yes,No,No,No,25
176,Amazon_Central,Site_0176,-2.7966,-62.0262,Jul,1987,Flooded_Forest,66760,290,6,Flooded_Shrubs,62,No,Sand,Slow,Very_High,No,Yes,Marginal,No,100
177,Amazon_Central,Site_0177,-7.8468,-55.4117,May,1993,Flooded_Forest,152329,484,26,Flooded_Trees,61,Yes,Organic_Matter,Slow,High,No,Yes,Marginal,No,95
178,Amazon_Mainstem_East,Site_0178,-2.6168,-62.7205,Feb,1981,Macrophyte,55131,84,27,Aquatic_Grasses,56,Yes,Organic_Matter,Slow,Moderate,Yes,Marginal,Yes,Yes,75
179,Amazon_Mainstem_West,Site_0179,-1.452,-63.4804,Jul,1985,River_Channel,3093,526,30,None,0,No,Clay,Fast,Moderate,Yes,No,No,No,25
180,Amazon_Mainstem,Site_0180,-4.8351,-57.9368,Jan,1987,River_Channel,4357,1273,30,None,0,No,Clay,Fast,Low,Yes,No,No,No,25
181,Amazon_Mainstem_West,Site_0181,-3.071,-65.0542,Nov,1996,Macrophyte,55886,235,8,Emergent_Vegetation,45,Yes,Clay,Slow,High,No,No,Yes,No,100
182,Amazon_Central,Site_0182,-7.5876,-63.9321,Jun,1985,River_Channel,5034,1493,30,None,0,No,Mud,Fast,Moderate,Yes,No,No,No,25
183,Amazon_Mainstem_West,Site_0183,-6.9701,-59.0814,Feb,1991,Macrophyte,47742,99,26,Aquatic_Grasses,89,Yes,Sand,Stagnant,High,Yes,Marginal,Yes,Yes,80
184,Amazon_Mainstem_West,Site_0184,-1.9438,-61.3016,Jun,1989,Flooded_Forest,107996,391,29,Flooded_Trees,74,No,Organic_Matter,Slow,High,No,Yes,No,No,95
185,Amazon_Central,Site_0185,-5.3711,-70.0949,Nov,1991,Flooded_Forest,36944,384,8,Flooded_Shrubs,64,No,Mud,Stagnant,High,No,Yes,Marginal,No,80
186,Amazon_Mainstem_West,Site_0186,-1.2012,-60.3738,May,1985,Open_Water,55057,318,30,None,0,No,Sand,Moderate,Moderate,Yes,No,No,No,55
187,Amazon_Central,Site_0187,-7.42,-60.5004,Jan,1996,Flooded_Forest,131541,204,26,Flooded_Trees,91,Yes,Sand,Slow,Very_High,No,Yes,No,No,100
188,Amazon_Mainstem_West,Site_0188,-5.315,-71.851,Jun,1980,Open_Water,42386,729,30,None,0,No,Organic_Matter,Slow,Low,Yes,No,No,No,50
189,Amazon_Central,Site_0189,-1.1714,-56.9623,Feb,1981,Macrophyte,71492,222,23,Aquatic_Grasses,82,Yes,Clay,Slow,Moderate,Yes,No,Yes,No,80
190,Amazon_Mainstem_West,Site_0190,-6.7527,-58.0239,Apr,1990,Flooded_Forest,142838,261,25,Flooded_Trees,90,No,Sand,Stagnant,Very_High,No,Yes,No,No,95
191,Amazon_Central,Site_0191,-1.9612,-62.1138,Feb,1987,Macrophyte,51647,191,26,Aquatic_Grasses,41,Yes,Clay,Stagnant,Moderate,Yes,No,Yes,Yes,75
192,Amazon_Mainstem_East,Site_0192,-6.3403,-57.1534,Mar,1993,Open_Water,49112,772,30,None,0,No,Mixed,Slow,Moderate,Yes,No,No,No,40
193,Amazon_Mainstem,Site_0193,-0.3533,-64.7002,Sep,1986,Open_Water,26612,563,30,None,0,No,Clay,Slow,Low,Yes,No,No,No,40
194,Amazon_Mainstem,Site_0194,-6.2239,-64.5861,Oct,1988,River_Channel,4602,1239,30,None,0,No,Mixed,Fast,Low,Yes,No,No,No,25
195,Amazon_Mainstem,Site_0195,-3.4124,-70.1461,Jul,1991,Open_Water,30860,408,30,None,0,No,Mixed,Slow,Low,Yes,No,No,No,55
196,Amazon_Central,Site_0196,-1.0453,-55.677,Jul,1986,Flooded_Forest,89216,418,15,Flooded_Trees,62,No,Mixed,Stagnant,High,No,Yes,Marginal,No,80
197,Amazon_Central,Site_0197,-4.1982,-54.3529,Oct,1988,Open_Water,25712,602,30,None,0,No,Clay,Slow,Low,Yes,No,No,No,40
198,Amazon_Mainstem_East,Site_0198,-3.4941,-60.8021,Mar,1996,River_Channel,4228,695,30,None,0,No,Organic_Matter,Moderate,Moderate,Yes,No,No,No,50
199,Amazon_Mainstem_West,Site_0199,-3.5077,-55.0325,Mar,1984,Flooded_Forest,71460,429,27,Flooded_Shrubs,74,No,Clay,Slow,High,No,Yes,No,No,85
200,Amazon_Mainstem_West,Site_0200,-4.5521,-57.5624,Jun,1995,Open_Water,52715,603,30,None,0,No,Mud,Moderate,Low,Yes,No,No,No,40
201,Amazon_Central,Site_0201,-1.1919,-69.0674,Feb,1989,River_Channel,4793,409,30,None,0,No,Organic_Matter,Fast,Low,Yes,No,No,No,50
202,Amazon_Mainstem_East,Site_0202,-3.7412,-62.5672,Nov,1989,River_Channel,3836,1160,30,None,0,No,Mixed,Fast,Moderate,Yes,No,No,No,25
203,Amazon_Mainstem_East,Site_0203,-4.681,-56.0993,May,1981,River_Channel,5921,724,30,None,0,No,Mixed,Moderate,Low,Yes,No,No,No,40
204,Amazon_Mainstem_East,Site_0204,-6.9806,-55.7102,Jan,1984,Flooded_Forest,127705,445,26,Flooded_Trees,77,Yes,Organic_Matter,Slow,Very_High,No,Yes,No,No,95
205,Amazon_Mainstem_East,Site_0205,-3.2896,-67.9811,Jan,1996,River_Channel,5722,1134,30,None,0,No,Mixed,Fast,Low,Yes,No,No,No,25
206,Amazon_Mainstem_West,Site_0206,-6.3366,-59.3447,Jan,1980,River_Channel,4814,1392,30,None,0,No,Sand,Moderate,Low,Yes,No,No,No,40
207,Amazon_Central,Site_0207,-0.9486,-62.2108,Jun,1979,Flooded_Forest,75251,183,30,Flooded_Trees,84,Yes,Sand,Slow,High,No,Yes,No,No,100
208,Amazon_Mainstem,Site_0208,-1.2944,-66.5802,Nov,1990,Macrophyte,49040,141,6,Emergent_Vegetation,58,Yes,Organic_Matter,Stagnant,High,No,Marginal,Yes,Yes,100
209,Amazon_Mainstem,Site_0209,-2.7589,-57.759,Mar,1985,Open_Water,35930,269,30,None,0,No,Clay,Slow,Low,Yes,No,No,No,70
210,Amazon_Mainstem,Site_0210,-3.0578,-58.5912,Apr,1996,Macrophyte,53460,186,20,Aquatic_Grasses,86,Yes,Sand,Stagnant,Moderate,Yes,No,Yes,Yes,75
211,Amazon_Central,Site_0211,-6.2173,-64.7804,Sep,1986,Flooded_Forest,35527,255,13,Flooded_Trees,91,Yes,Organic_Matter,Slow,High,No,Yes,No,No,100
212,Amazon_Mainstem_East,Site_0212,-3.0943,-54.5062,Dec,1996,Flooded_Forest,66854,547,8,Flooded_Shrubs,88,No,Sand,Stagnant,Very_High,No,Yes,No,No,65
213,Amazon_Central,Site_0213,-0.9192,-65.5365,Nov,1986,Macrophyte,54861,236,6,Emergent_Vegetation,63,Yes,Sand,Stagnant,Moderate,No,No,Yes,No,75
214,Amazon_Mainstem_West,Site_0214,-4.6155,-64.9608,Jan,1993,Open_Water,44436,477,30,None,0,No,Organic_Matter,Slow,Low,Yes,No,No,No,65
215,Amazon_Central,Site_0215,-5.8416,-63.59,May,1989,Flooded_Forest,97985,392,25,Flooded_Trees,79,No,Sand,Stagnant,Very_High,No,Yes,No,No,80
216,Amazon_Central,Site_0216,-3.6956,-63.8436,Oct,1988,Open_Water,30191,334,30,None,0,No,Sand,Moderate,Moderate,Yes,No,No,No,55
217,Amazon_Mainstem_East,Site_0217,-1.2992,-62.1144,Jan,1990,Open_Water,51250,457,30,None,0,No,Clay,Moderate,Moderate,Yes,No,No,No,55
218,Amazon_Central,Site_0218,-5.5907,-65.4343,Dec,1985,Macrophyte,44621,236,11,Aquatic_Grasses,78,Yes,Clay,Stagnant,Moderate,No,No,Yes,No,75
219,Amazon_Mainstem,Site_0219,-5.0217,-66.4359,Feb,1987,Macrophyte,53736,162,28,Floating_Macrophytes,67,Yes,Mixed,Stagnant,Moderate,Yes,No,Yes,Yes,75
220,Amazon_Mainstem_East,Site_0220,-6.3065,-56.1254,Feb,1993,Open_Water,56651,685,30,None,0,No,Mixed,Slow,Low,Yes,No,No,No,40
221,Amazon_Mainstem_West,Site_0221,-1.1052,-54.2628,Nov,1981,River_Channel,3835,1373,30,None,0,No,Mixed,Moderate,Low,Yes,No,No,No,40
222,Amazon_Mainstem,Site_0222,-0.0345,-56.5926,Apr,1994,Flooded_Forest,173058,549,26,Flooded_Trees,89,No,Mud,Slow,Very_High,No,Yes,No,No,70
223,Amazon_Mainstem_East,Site_0223,-6.9875,-56.0973,Jun,1990,Macrophyte,68431,247,27,Floating_Macrophytes,40,Yes,Clay,Stagnant,High,Yes,No,Yes,No,95
224,Amazon_Central,Site_0224,-3.6887,-57.2122,Dec,1980,Macrophyte,45900,94,15,Aquatic_Grasses,61,Yes,Organic_Matter,Slow,Moderate,No,Marginal,Yes,Yes,75
225,Amazon_Mainstem,Site_0225,-2.5871,-63.2971,Apr,1993,Flooded_Forest,144381,197,28,Flooded_Shrubs,85,Yes,Mixed,Stagnant,High,No,Yes,No,No,95
226,Amazon_Mainstem,Site_0226,-0.8435,-54.2668,Nov,1996,River_Channel,3897,421,30,None,0,No,Sand,Moderate,Moderate,Yes,No,No,No,55
227,Amazon_Mainstem_East,Site_0227,-0.339,-71.8169,Oct,1981,Open_Water,29192,649,30,None,0,No,Organic_Matter,Slow,Moderate,Yes,No,No,No,50
228,Amazon_Mainstem_East,Site_0228,-1.3546,-63.1797,Nov,1992,Open_Water,28639,503,30,None,0,No,Sand,Moderate,Moderate,Yes,No,No,No,40
229,Amazon_Central,Site_0229,-6.0771,-61.8763,Dec,1980,Open_Water,25306,564,30,None,0,No,Organic_Matter,Moderate,Low,Yes,No,No,No,50
230,Amazon_Mainstem_West,Site_0230,-4.8084,-66.3464,Jan,1985,River_Channel,4836,1041,30,None,0,No,Organic_Matter,Moderate,Moderate,Yes,No,No,No,50
231,Amazon_Central,Site_0231,-4.5417,-71.4355,Apr,1985,River_Channel,5090,1005,30,None,0,No,Sand,Moderate,Moderate,Yes,No,No,No,40
232,Amazon_Central,Site_0232,-3.3253,-67.7041,Jul,1979,Flooded_Forest,51958,437,4,Flooded_Trees,89,No,Sand,Slow,Very_High,No,Yes,No,No,85
233,Amazon_Central,Site_0233,-7.2683,-67.0334,Nov,1983,Flooded_Forest,80296,143,7,Flooded_Trees,78,Yes,Clay,Slow,High,No,Yes,No,No,100
234,Amazon_Mainstem_West,Site_0234,-3.3955,-67.5488,Aug,1987,River_Channel,3653,1309,30,None,0,No,Clay,Moderate,Moderate,Yes,No,No,No,40
235,Amazon_Central,Site_0235,-7.5691,-62.7505,Mar,1980,Open_Water,56862,210,30,None,0,No,Clay,Moderate,Low,Yes,No,No,No,70
236,Amazon_Mainstem_East,Site_0236,-4.4407,-63.1486,Jan,1979,Flooded_Forest,83312,600,27,Flooded_Trees,72,Yes,Organic_Matter,Stagnant,Very_High,No,Yes,No,No,75
237,Amazon_Mainstem_East,Site_0237,-7.8843,-59.0252,Jun,1982,River_Channel,4649,1180,30,None,0,No,Organic_Matter,Moderate,Moderate,Yes,No,No,No,50
238,Amazon_Mainstem_West,Site_0238,-4.9095,-65.5179,Sep,1986,Macrophyte,39173,165,10,Aquatic_Grasses,40,Yes,Mixed,Slow,High,No,No,Yes,Yes,100
239,Amazon_Mainstem,Site_0239,-0.9755,-69.9047,May,1993,Flooded_Forest,91258,393,26,Flooded_Shrubs,93,No,Sand,Slow,High,No,Yes,No,No,85
240,Amazon_Mainstem,Site_0240,-6.3415,-55.0648,Jul,1994,Open_Water,34859,231,30,None,0,No,Clay,Slow,Moderate,Yes,No,No,No,70
241,Amazon_Mainstem_East,Site_0241,-3.7869,-64.6602,Apr,1991,Flooded_Forest,134232,484,29,Flooded_Trees,64,No,Mud,Slow,Very_High,No,Yes,Marginal,No,85
242,Amazon_Mainstem,Site_0242,-6.7516,-66.2268,Dec,1986,Flooded_Forest,58810,500,13,Flooded_Trees,91,Yes,Clay,Stagnant,High,No,Yes,No,No,80
243,Amazon_Mainstem,Site_0243,-3.2113,-60.9393,Dec,1980,Macrophyte,47822,69,15,Floating_Macrophytes,49,Yes,Mud,Stagnant,High,No,Marginal,Yes,Yes,80
244,Amazon_Central,Site_0244,-3.6681,-65.8175,Nov,1994,Open_Water,29123,327,30,None,0,No,Mud,Moderate,Moderate,Yes,No,No,No,55
245,Amazon_Mainstem_East,Site_0245,-0.6769,-64.3271,Jun,1991,Flooded_Forest,69744,466,28,Flooded_Trees,80,No,Sand,Stagnant,Very_High,No,Yes,No,No,80
246,Amazon_Mainstem_West,Site_0246,-0.6837,-70.2941,May,1984,Flooded_Forest,162089,112,29,Flooded_Shrubs,63,No,Sand,Stagnant,High,No,Yes,Marginal,No,95
247,Amazon_Central,Site_0247,-4.9375,-55.6839,Sep,1980,Open_Water,24685,409,30,None,0,No,Mixed,Moderate,Moderate,Yes,No,No,No,55
248,Amazon_Mainstem_East,Site_0248,-4.3622,-59.3727,Apr,1990,River_Channel,5786,851,30,None,0,No,Sand,Fast,Moderate,Yes,No,No,No,25
249,Amazon_Central,Site_0249,-2.1669,-54.4793,Aug,1979,Flooded_Forest,64517,431,6,Flooded_Trees,77,Yes,Clay,Stagnant,Very_High,No,Yes,No,No,80
250,Amazon_Mainstem_East,Site_0250,-1.7763,-70.7579,Jul,1994,Flooded_Forest,70906,226,5,Flooded_Trees,81,No,Sand,Stagnant,High,No,Yes,No,No,95
251,Amazon_Central,Site_0251,-3.14,-65.5133,Aug,1992,Macrophyte,36553,173,12,Aquatic_Grasses,54,Yes,Sand,Slow,High,No,No,Yes,Yes,100
252,Amazon_Mainstem_East,Site_0252,-0.7082,-68.2802,Dec,1996,River_Channel,4135,1448,30,None,0,No,Mixed,Moderate,Moderate,Yes,No,No,No,40
253,Amazon_Central,Site_0253,-6.3409,-55.7516,Jan,1991,Flooded_Forest,130404,396,25,Flooded_Trees,94,Yes,Mud,Stagnant,Very_High,No,Yes,No,No,80
254,Amazon_Mainstem_East,Site_0254,-6.86,-65.8019,Jan,1984,Macrophyte,52151,139,30,Emergent_Vegetation,80,Yes,Clay,Slow,Moderate,Yes,Marginal,Yes,Yes,80
255,Amazon_Mainstem_West,Site_0255,-0.8972,-69.5379,Jul,1988,River_Channel,4710,674,30,None,0,No,Mud,Moderate,Moderate,Yes,No,No,No,40
256,Amazon_Mainstem_East,Site_0256,-2.8217,-67.0682,Mar,1981,Open_Water,35183,599,30,None,0,No,Mixed,Slow,Low,Yes,No,No,No,40
257,Amazon_Central,Site_0257,-0.1194,-60.2332,Feb,1991,Macrophyte,64894,88,26,Aquatic_Grasses,76,Yes,Mixed,Slow,Moderate,Yes,Marginal,Yes,Yes,65
258,Amazon_Mainstem_West,Site_0258,-6.9553,-56.4163,Nov,1981,River_Channel,3753,1213,30,None,0,No,Clay,Moderate,Low,Yes,No,No,No,40
259,Amazon_Mainstem_West,Site_0259,-3.0525,-60.8693,May,1994,Open_Water,45932,514,30,None,0,No,Organic_Matter,Slow,Moderate,Yes,No,No,No,50
260,Amazon_Mainstem_West,Site_0260,-2.0917,-65.8059,Aug,1984,Open_Water,31587,278,30,None,0,No,Mixed,Slow,Moderate,Yes,No,No,No,70
261,Amazon_Mainstem,Site_0261,-2.9067,-55.2824,Apr,1981,Open_Water,46156,642,30,None,0,No,Mixed,Slow,Low,Yes,No,No,No,40
262,Amazon_Central,Site_0262,-7.8347,-63.3487,Mar,1992,Macrophyte,70832,242,22,Aquatic_Grasses,76,Yes,Mud,Stagnant,Moderate,Yes,No,Yes,No,75
263,Amazon_Mainstem_East,Site_0263,-6.8788,-62.7934,Apr,1989,Open_Water,44975,717,30,None,0,No,Clay,Slow,Low,Yes,No,No,No,40
264,Amazon_Mainstem_West,Site_0264,-4.9445,-54.947,Mar,1979,Open_Water,37684,756,30,None,0,No,Mixed,Slow,Moderate,Yes,No,No,No,40
265,Amazon_Mainstem_West,Site_0265,-0.5978,-55.6971,Feb,1995,River_Channel,4279,1082,30,None,0,No,Sand,Moderate,Low,Yes,No,No,No,40
266,Amazon_Mainstem,Site_0266,-4.0059,-63.182,May,1980,River_Channel,5833,677,30,None,0,No,Mud,Moderate,Low,Yes,No,No,No,40
267,Amazon_Mainstem,Site_0267,-7.3502,-68.8275,Apr,1995,River_Channel,4524,1257,30,None,0,No,Sand,Fast,Low,Yes,No,No,No,25
268,Amazon_Mainstem,Site_0268,-2.8526,-57.4132,Jun,1996,Macrophyte,65640,149,25,Aquatic_Grasses,85,Yes,Sand,Stagnant,Moderate,Yes,Marginal,Yes,Yes,75
269,Amazon_Mainstem,Site_0269,-3.2052,-71.6917,Jun,1996,River_Channel,4984,962,30,None,0,No,Sand,Fast,Moderate,Yes,No,No,No,25
270,Amazon_Mainstem_West,Site_0270,-3.2099,-66.2169,May,1984,Flooded_Forest,167695,429,26,Flooded_Trees,75,No,Organic_Matter,Stagnant,Very_High,No,Yes,No,No,90
271,Amazon_Central,Site_0271,-2.8118,-63.0754,Jul,1983,Open_Water,35896,211,30,None,0,No,Sand,Moderate,Moderate,Yes,No,No,No,70
272,Amazon_Mainstem_West,Site_0272,-4.3697,-63.504,Oct,1994,Macrophyte,47750,189,7,Emergent_Vegetation,40,Yes,Organic_Matter,Slow,High,No,No,Yes,Yes,100
273,Amazon_Mainstem_East,Site_0273,-5.5565,-63.0711,Sep,1985,Flooded_Forest,45738,594,15,Flooded_Trees,86,No,Mixed,Slow,Very_High,No,Yes,No,No,70
274,Amazon_Mainstem_East,Site_0274,-6.7596,-63.0124,Mar,1991,Macrophyte,64530,86,23,Emergent_Vegetation,63,Yes,Clay,Stagnant,Moderate,Yes,Marginal,Yes,Yes,60
275,Amazon_Mainstem_West,Site_0275,-0.3396,-54.4602,Feb,1989,Open_Water,50035,692,30,None,0,No,Mixed,Slow,Moderate,Yes,No,No,No,40
276,Amazon_Mainstem_West,Site_0276,-6.1438,-58.8482,Apr,1995,Open_Water,47925,331,30,None,0,No,Clay,Slow,Moderate,Yes,No,No,No,55
277,Amazon_Mainstem_East,Site_0277,-1.2012,-55.8175,Nov,1981,Macrophyte,43247,137,20,Emergent_Vegetation,76,Yes,Organic_Matter,Slow,High,Yes,Marginal,Yes,Yes,100
278,Amazon_Mainstem,Site_0278,-3.5935,-65.5627,Apr,1989,River_Channel,5873,594,30,None,0,No,Clay,Fast,Low,Yes,No,No,No,25
279,Amazon_Central,Site_0279,-1.1533,-55.1336,Nov,1985,Flooded_Forest,45618,415,6,Flooded_Trees,64,Yes,Mixed,Slow,Very_High,No,Yes,Marginal,No,85
280,Amazon_Central,Site_0280,-7.4842,-65.7233,Feb,1993,Macrophyte,58185,97,21,Aquatic_Grasses,80,Yes,Mixed,Stagnant,High,Yes,Marginal,Yes,Yes,80
281,Amazon_Mainstem_West,Site_0281,-7.3489,-55.2367,Aug,1987,Macrophyte,49162,139,17,Emergent_Vegetation,56,Yes,Mud,Slow,High,Yes,Marginal,Yes,Yes,100
282,Amazon_Mainstem_East,Site_0282,-5.1128,-57.5495,Jan,1993,River_Channel,5111,438,30,None,0,No,Sand,Moderate,Moderate,Yes,No,No,No,55
283,Amazon_Mainstem_West,Site_0283,-5.7172,-54.9851,Feb,1996,River_Channel,5239,1392,30,None,0,No,Sand,Moderate,Moderate,Yes,No,No,No,40
284,Amazon_Mainstem,Site_0284,-2.0003,-54.2984,Sep,1990,River_Channel,3550,1003,30,None,0,No,Clay,Moderate,Low,Yes,No,No,No,40
285,Amazon_Mainstem_East,Site_0285,-3.199,-61.0932,Jul,1981,Flooded_Forest,94897,503,8,Flooded_Trees,69,Yes,Clay,Slow,Very_High,No,Yes,Marginal,No,70
286,Amazon_Mainstem_East,Site_0286,-0.6199,-58.4413,Jun,1989,Macrophyte,65923,54,21,Emergent_Vegetation,46,Yes,Mud,Slow,Moderate,Yes,Marginal,Yes,Yes,65
287,Amazon_Central,Site_0287,-7.479,-57.319,Nov,1996,River_Channel,3888,1431,30,None,0,No,Sand,Fast,Moderate,Yes,No,No,No,25
288,Amazon_Mainstem,Site_0288,-2.7984,-55.357,Oct,1987,Flooded_Forest,33328,439,12,Flooded_Shrubs,80,Yes,Clay,Stagnant,Very_High,No,Yes,No,No,80
289,Amazon_Mainstem,Site_0289,-1.7539,-69.3278,Jan,1992,Flooded_Forest,74274,326,26,Flooded_Trees,93,No,Organic_Matter,Slow,High,No,Yes,No,No,95
290,Amazon_Mainstem_West,Site_0290,-2.0803,-67.0485,Aug,1992,Macrophyte,31159,232,11,Emergent_Vegetation,54,Yes,Mud,Slow,High,No,No,Yes,No,100
291,Amazon_Central,Site_0291,-5.8969,-57.4565,Oct,1996,Macrophyte,31159,155,10,Aquatic_Grasses,53,Yes,Clay,Slow,High,No,No,Yes,Yes,100
292,Amazon_Mainstem_West,Site_0292,-7.9884,-71.4967,Mar,1988,Flooded_Forest,105207,220,26,Flooded_Shrubs,64,Yes,Sand,Slow,Very_High,No,Yes,Marginal,No,100
293,Amazon_Central,Site_0293,-5.8567,-58.6079,Dec,1990,River_Channel,4931,1361,30,None,0,No,Mud,Fast,Moderate,Yes,No,No,No,25
294,Amazon_Mainstem_West,Site_0294,-1.4688,-65.165,May,1994,Flooded_Forest,171240,507,26,Flooded_Trees,70,Yes,Sand,Slow,High,No,Yes,No,No,70
295,Amazon_Mainstem,Site_0295,-5.0773,-58.7688,Apr,1983,Open_Water,56687,338,30,None,0,No,Sand,Slow,Moderate,Yes,No,No,No,55
296,Amazon_Mainstem_East,Site_0296,-1.4397,-64.5881,Feb,1980,River_Channel,4434,738,30,None,0,No,Clay,Moderate,Moderate,Yes,No,No,No,40
297,Amazon_Mainstem,Site_0297,-6.3647,-65.2256,Nov,1994,Macrophyte,46537,173,14,Floating_Macrophytes,40,Yes,Mud,Stagnant,Moderate,No,No,Yes,Yes,75
298,Amazon_Central,Site_0298,-2.9789,-57.0665,Nov,1986,Macrophyte,44216,218,16,Emergent_Vegetation,88,Yes,Mixed,Slow,Moderate,Yes,No,Yes,No,80
299,Amazon_Mainstem_West,Site_0299,-5.7591,-55.923,May,1987,Open_Water,36524,681,30,None,0,No,Clay,Slow,Low,Yes,No,No,No,40
300,Amazon_Mainstem_West,Site_0300,-2.0715,-57.2358,Aug,1985,Flooded_Forest,30910,165,12,Flooded_Trees,83,Yes,Clay,Slow,High,No,Yes,No,No,100
301,Amazon_Central,Site_0301,-4.2682,-61.5531,Jul,1981,Macrophyte,28734,133,14,Emergent_Vegetation,41,Yes,Sand,Slow,Moderate,No,Marginal,Yes,Yes,80
302,Amazon_Central,Site_0302,-1.5076,-66.8344,Feb,1993,River_Channel,5805,1186,30,None,0,No,Organic_Matter,Fast,Moderate,Yes,No,No,No,35
303,Amazon_Mainstem_East,Site_0303,-0.2032,-54.447,Aug,1994,Macrophyte,54850,183,9,Aquatic_Grasses,57,Yes,Mud,Stagnant,Moderate,No,No,Yes,Yes,75
304,Amazon_Mainstem,Site_0304,-0.3788,-57.9573,Sep,1992,River_Channel,3941,1449,30,None,0,No,Clay,Moderate,Moderate,Yes,No,No,No,40
305,Amazon_Mainstem_West,Site_0305,-7.6281,-62.7797,Dec,1992,Macrophyte,59821,118,18,Floating_Macrophytes,89,Yes,Mud,Slow,Moderate,Yes,Marginal,Yes,Yes,80
