record_id,plant_type,soil_ph,soil_nitrogen_ppm,soil_phosphorus_ppm,soil_potassium_ppm,soil_moisture_percent,soil_organic_carbon_percent,soil_temperature_celsius,air_temperature_celsius,topsoil_depth_cm,slope_degrees,elevation_meters,erosion_level,sunlight_hours,rainfall_mm,drainage_quality,soil_texture,compaction_level,previous_crop,days_since_last_crop,fertilizer_applied,will_thrive,growth_rate_percent,yield_quality
170,Apple_Tree,6.68,47,95,27,34,5.39,15.1,25.3,25,8,471,Severe,12.1,138,Poor,Sandy,High,Vegetable,132,No,Yes,62,Good
171,Wheat,8.68,124,69,98,89,10.04,24.9,-2.3,83,45,957,High,12.4,252,Excellent,Sandy_Loam,High,Fallow,27,No,No,29,Poor
172,Pumpkin,4.28,5,37,14,73,1.22,36.0,4.3,63,16,1286,Low,7.1,7,Very_Poor,Clay_Loam,Low,Fallow,302,Yes,No,28,Poor
173,Cotton,6.27,19,62,7,72,14.28,20.9,13.1,105,34,1133,Low,11.6,18,Very_Poor,Sandy,Moderate,Soybean,301,Yes,No,42,Fair
174,Lettuce,5.11,80,78,38,92,8.42,40.1,39.0,135,39,2363,Moderate,3.7,121,Poor,Silty,Moderate,None,22,Yes,No,42,Fair
175,Sunflower,8.48,73,72,102,26,10.07,23.4,44.8,49,1,1508,High,13.7,44,Good,Clay,Low,None,42,Yes,No,46,Fair
176,Oak_Tree,5.52,39,77,60,81,1.37,14.7,-0.3,10,1,397,None,13.8,179,Good,Clay_Loam,High,Soybean,39,No,No,54,Fair
177,Cotton,5.7,39,5,23,77,3.66,41.2,11.5,109,19,269,High,15.8,38,Moderate,Clay,Low,Soybean,56,No,No,50,Fair
178,Carrot,5.41,71,26,70,98,10.17,19.5,-7.7,21,12,1014,High,5.4,66,Good,Clay,Moderate,Corn,359,Yes,No,58,Fair
179,Carrot,8.24,29,78,80,34,2.66,19.2,43.4,75,27,219,High,14.3,178,Very_Poor,Loamy,None,Vegetable,255,No,No,10,Very_Poor
180,Carrot,6.11,43,23,82,58,13.99,42.9,7.3,87,27,2939,Low,4.6,250,Good,Silty,High,Fallow,288,No,Yes,79,Good
181,Tomato,8.64,3,84,113,14,7.92,7.3,26.6,109,17,2629,Severe,12.8,235,Excellent,Silty,Moderate,Soybean,217,Yes,No,39,Poor
182,Corn,6.63,35,1,86,73,5.68,38.2,37.3,111,16,1265,Low,11.4,283,Very_Poor,Clay_Loam,Moderate,None,92,Yes,Yes,72,Good
183,Wheat,8.62,110,19,4,60,2.72,10.6,9.5,89,26,2487,Moderate,8.2,290,Poor,Sandy_Loam,Low,Corn,144,No,Yes,69,Good
184,Rice,6.45,103,67,58,21,6.03,18.1,34.6,70,32,885,Severe,15.8,163,Poor,Clay_Loam,None,Vegetable,32,Yes,Yes,74,Good
185,Lettuce,8.11,56,100,83,17,11.61,5.1,37.9,101,12,266,High,11.6,204,Moderate,Sandy_Loam,Moderate,Soybean,186,Yes,No,32,Poor
186,Strawberry,7.33,53,40,38,1,12.29,15.5,7.4,113,23,2845,High,9.9,4,Very_Poor,Clay,Low,Soybean,159,Yes,No,11,Very_Poor
187,Pine_Tree,8.36,123,19,101,16,2.8,16.4,43.0,126,18,574,High,2.6,176,Very_Poor,Clay,Moderate,Fallow,148,No,No,6,Very_Poor
188,Corn,7.2,74,43,15,70,11.61,24.7,27.9,72,42,1017,High,4.6,132,Poor,Silty,Low,Wheat,335,No,Yes,67,Good
189,Strawberry,4.68,115,4,10,34,12.43,-2.9,27.4,76,0,353,Low,11.6,61,Good,Silty,Low,Wheat,25,No,No,45,Fair
190,Rice,6.09,14,14,95,2,11.66,44.7,11.4,132,30,1806,High,11.0,174,Good,Sandy,High,Vegetable,107,No,No,24,Poor
191,Pumpkin,6.61,116,80,120,0,5.79,37.2,13.4,125,41,1912,None,4.3,237,Good,Sandy,None,None,36,No,Yes,68,Good
192,Apple_Tree,7.83,89,77,81,7,14.74,15.0,41.0,57,44,2557,High,11.9,48,Very_Poor,Clay,None,Wheat,157,No,No,5,Very_Poor
193,Sunflower,6.12,15,23,96,41,9.98,9.8,3.0,103,34,1937,Severe,12.2,41,Good,Clay_Loam,None,None,241,Yes,No,56,Fair
194,Pumpkin,7.0,37,71,77,38,13.12,16.9,12.8,141,37,2406,High,8.2,44,Excellent,Silty,Low,Fallow,76,No,No,33,Poor
195,Carrot,8.72,34,11,50,51,1.68,17.6,-6.0,37,26,901,High,13.9,80,Moderate,Sandy,Low,Corn,90,No,No,34,Poor
196,Tomato,8.13,126,61,65,3,10.74,9.0,-7.4,129,45,2855,High,4.0,199,Very_Poor,Sandy,None,Soybean,155,No,No,6,Very_Poor
197,Sunflower,4.87,11,47,83,5,4.57,1.3,-2.1,117,18,2786,High,4.3,10,Moderate,Clay_Loam,Low,None,201,Yes,No,18,Very_Poor
198,Cotton,5.64,12,18,31,35,2.9,35.1,21.1,76,28,1124,Severe,6.8,226,Poor,Silty,None,Fallow,8,Yes,Yes,60,Good
199,Pine_Tree,4.28,22,93,36,27,4.61,17.3,8.5,122,32,14,None,5.8,204,Poor,Sandy,High,None,50,Yes,No,46,Fair
200,Pine_Tree,7.31,70,90,59,59,4.24,10.6,37.0,41,18,285,High,10.1,279,Excellent,Clay,Low,Corn,182,Yes,No,55,Fair
201,Cotton,5.92,117,16,94,83,3.16,38.3,-9.5,48,28,1252,Moderate,6.1,179,Excellent,Loamy,None,Wheat,80,No,Yes,89,Excellent
202,Rice,5.31,87,30,34,21,11.21,20.7,19.5,80,22,2072,High,17.0,92,Poor,Clay_Loam,Low,None,259,No,No,43,Fair
203,Pine_Tree,8.49,89,25,42,69,2.41,26.9,6.1,52,23,1005,Severe,3.4,299,Very_Poor,Loamy,None,Soybean,347,Yes,Yes,70,Good
204,Sunflower,5.93,108,82,58,23,10.82,10.7,34.5,14,5,992,Severe,14.5,271,Very_Poor,Clay,Moderate,None,269,Yes,No,33,Poor
205,Soybean,8.56,144,29,36,27,12.63,6.1,31.8,40,22,2177,Low,2.6,62,Moderate,Sandy_Loam,Moderate,Vegetable,133,Yes,Yes,61,Good
206,Potato,4.79,55,70,88,89,3.6,44.7,14.6,115,39,1702,Low,13.3,145,Good,Sandy_Loam,Moderate,None,342,Yes,Yes,83,Excellent
207,Lettuce,8.09,144,10,21,89,1.59,5.0,-4.5,87,45,2990,High,8.1,67,Poor,Clay,None,Fallow,308,No,No,41,Fair
208,Rice,6.07,29,26,62,8,3.53,-3.1,-9.7,63,37,2596,None,11.4,216,Excellent,Clay_Loam,None,Corn,299,No,No,34,Poor
209,Soybean,4.68,117,25,46,54,0.89,26.2,23.2,61,8,1102,Moderate,14.9,130,Excellent,Silty,High,Wheat,13,No,No,57,Fair
210,Soybean,4.45,146,31,3,50,2.67,-2.3,-9.4,60,2,402,None,15.7,149,Excellent,Clay,Moderate,Soybean,310,No,No,45,Fair
211,Strawberry,7.57,106,62,77,38,12.31,15.6,14.1,99,36,2434,None,14.7,103,Poor,Sandy,High,Fallow,178,Yes,No,30,Poor
212,Lettuce,8.77,4,35,2,38,14.79,27.8,14.8,108,35,2764,Severe,11.6,206,Excellent,Clay,None,Vegetable,287,Yes,No,39,Poor
213,Carrot,6.72,2,32,20,6,6.64,23.0,39.2,56,29,1374,High,9.9,177,Excellent,Silty,None,None,76,No,No,33,Poor
214,Oak_Tree,6.93,46,86,9,96,8.59,24.3,17.5,108,18,453,Severe,13.2,85,Very_Poor,Silty,Low,Fallow,262,No,Yes,80,Excellent
215,Cotton,8.68,91,7,27,81,8.48,23.2,27.8,52,22,1432,Low,2.1,69,Very_Poor,Loamy,Moderate,None,69,No,Yes,62,Good
216,Corn,4.36,81,66,57,68,2.97,17.6,-0.9,104,23,2070,High,18.0,214,Good,Loamy,High,Wheat,334,Yes,No,43,Fair
217,Oak_Tree,5.32,109,90,87,83,12.14,10.6,1.6,128,21,2749,Low,11.5,103,Good,Clay_Loam,Low,Soybean,148,Yes,Yes,100,Excellent
218,Rice,6.11,127,2,40,8,10.21,22.3,14.7,50,4,1321,None,16.8,187,Poor,Clay_Loam,None,Corn,137,Yes,Yes,62,Good
219,Oak_Tree,7.24,78,93,1,7,10.04,-1.4,28.9,146,5,186,Moderate,5.6,68,Moderate,Sandy,Low,Fallow,326,Yes,Yes,94,Excellent
220,Sunflower,6.45,93,36,10,67,13.53,41.6,42.6,120,31,1869,High,3.8,257,Poor,Sandy,High,Wheat,331,No,No,47,Fair
221,Lettuce,7.95,136,47,79,47,10.83,-2.1,8.2,65,8,890,None,7.9,272,Moderate,Sandy,Low,Soybean,36,No,Yes,73,Good
222,Rice,4.49,126,18,60,96,11.95,-0.8,24.1,33,45,1571,None,13.7,9,Poor,Loamy,High,Wheat,315,Yes,Yes,62,Good
223,Pine_Tree,8.77,83,22,99,1,8.85,18.1,1.4,32,24,2365,None,13.0,235,Good,Loamy,None,Soybean,224,Yes,Yes,69,Good
224,Pine_Tree,8.91,16,68,103,8,11.85,31.0,15.5,88,21,1777,None,12.5,166,Moderate,Silty,High,Wheat,363,No,No,30,Poor
225,Carrot,6.14,9,55,82,93,5.01,40.0,20.6,97,13,2716,Low,12.9,3,Excellent,Clay,High,Corn,242,No,Yes,81,Excellent
226,Corn,8.06,68,51,77,18,11.8,31.3,-4.8,141,29,1594,None,12.5,177,Good,Loamy,Low,Fallow,288,No,No,42,Fair
227,Pine_Tree,4.95,9,67,87,72,2.19,17.1,-5.2,65,12,1966,High,4.4,146,Excellent,Loamy,Low,Soybean,60,No,No,53,Fair
228,Tomato,7.69,99,26,28,36,14.22,22.6,30.2,16,2,255,Severe,3.1,93,Poor,Loamy,None,Vegetable,249,No,No,36,Poor
229,Wheat,6.84,124,66,12,52,1.04,-1.9,20.4,142,4,799,Moderate,12.6,245,Moderate,Silty,High,Vegetable,91,No,Yes,94,Excellent
230,Apple_Tree,4.34,49,46,114,42,10.15,30.5,-0.5,15,6,2795,High,14.0,242,Good,Silty,Moderate,Wheat,46,No,No,44,Fair
231,Strawberry,5.77,90,90,47,34,14.73,13.1,27.1,56,27,1604,Severe,6.3,80,Good,Clay_Loam,None,Vegetable,39,No,No,59,Fair
232,Lettuce,7.75,104,33,102,41,4.98,-3.8,-7.3,86,18,2328,None,3.9,297,Excellent,Silty,High,Fallow,191,No,No,27,Poor
233,Potato,8.76,66,97,99,89,3.27,18.5,4.6,49,31,1008,Moderate,13.1,244,Poor,Clay_Loam,Low,Fallow,48,Yes,No,43,Fair
234,Strawberry,8.91,144,71,104,11,14.03,43.1,5.8,21,16,42,None,3.6,216,Moderate,Silty,None,None,52,No,No,35,Poor
235,Pine_Tree,4.3,59,9,104,93,8.59,39.2,16.9,135,9,942,Moderate,16.4,159,Poor,Loamy,Moderate,Vegetable,73,No,Yes,81,Excellent
236,Soybean,4.21,136,11,27,22,13.57,43.2,31.1,140,29,2313,Severe,4.3,122,Poor,Sandy_Loam,Moderate,Fallow,154,No,No,35,Poor
237,Potato,6.66,76,79,67,54,14.14,34.1,17.5,70,35,2486,Severe,15.7,183,Excellent,Sandy,Low,Fallow,356,No,Yes,72,Good
238,Cotton,7.85,138,96,97,6,13.32,31.0,26.7,138,16,1151,Severe,16.3,233,Moderate,Loamy,None,Vegetable,321,No,Yes,86,Excellent
239,Strawberry,4.27,99,0,72,86,7.85,3.0,37.1,84,36,1258,High,18.0,106,Poor,Loamy,None,None,54,No,No,34,Poor
240,Strawberry,5.71,90,32,15,46,1.0,15.7,2.8,103,1,732,Moderate,12.6,139,Good,Clay,None,Soybean,85,No,Yes,71,Good
241,Apple_Tree,8.66,130,37,104,3,3.43,6.6,4.3,100,30,1434,Severe,13.3,192,Poor,Silty,None,Fallow,275,Yes,No,36,Poor
242,Pumpkin,4.24,34,73,22,52,3.93,1.8,30.6,30,33,1582,Low,2.7,71,Very_Poor,Sandy_Loam,Moderate,Wheat,276,No,No,48,Fair
243,Wheat,5.59,24,99,23,25,10.86,26.7,9.5,141,10,2307,None,3.0,106,Moderate,Sandy_Loam,High,Corn,64,No,No,40,Fair
244,Pine_Tree,6.65,74,82,118,10,5.14,7.8,-1.1,74,5,2885,None,10.8,47,Moderate,Clay,Low,None,206,Yes,Yes,60,Good
245,Carrot,4.44,78,96,81,18,13.37,15.0,-8.7,115,16,395,High,11.9,99,Moderate,Sandy,Low,Corn,34,Yes,No,26,Poor
246,Lettuce,8.4,87,49,45,36,1.47,-3.7,23.2,32,29,2443,Moderate,13.7,243,Moderate,Clay,None,Corn,313,Yes,No,55,Fair
247,Corn,5.95,127,92,17,62,7.44,28.1,7.1,143,44,1744,Moderate,3.6,262,Very_Poor,Clay_Loam,High,Vegetable,275,Yes,No,50,Fair
248,Lettuce,6.13,147,70,65,41,6.65,16.8,-8.1,89,19,1146,Moderate,15.2,172,Poor,Loamy,Low,Fallow,310,No,Yes,75,Good
249,Strawberry,8.65,39,68,106,18,9.46,11.4,14.7,125,24,2651,Low,11.7,29,Excellent,Clay,Low,Fallow,99,No,No,44,Fair
250,Corn,7.32,84,50,32,41,14.32,19.4,5.4,61,10,516,Low,11.8,69,Good,Clay_Loam,Moderate,Vegetable,0,Yes,Yes,85,Excellent
251,Tomato,6.1,44,50,66,74,14.91,19.4,13.5,93,34,2548,High,15.3,118,Excellent,Clay,None,Fallow,299,No,No,47,Fair
252,Carrot,6.07,71,5,84,52,3.41,14.3,1.5,63,30,2666,Low,4.3,271,Moderate,Sandy_Loam,None,Fallow,361,Yes,Yes,84,Excellent
253,Soybean,6.22,56,39,37,48,14.97,31.7,43.3,140,28,1540,Low,12.1,212,Moderate,Clay,Low,Corn,98,No,Yes,78,Good
254,Carrot,6.28,100,25,96,37,0.99,26.9,8.7,64,15,215,High,11.9,77,Very_Poor,Clay_Loam,Low,Corn,183,No,No,55,Fair
255,Potato,6.05,122,2,27,44,10.11,-1.7,-5.5,22,6,907,Moderate,14.6,69,Excellent,Clay_Loam,Low,None,330,No,Yes,61,Good
256,Cotton,4.78,49,76,46,5,1.27,36.1,32.5,30,5,286,High,6.4,134,Good,Loamy,Low,Vegetable,27,Yes,No,49,Fair
257,Oak_Tree,7.67,115,65,40,72,12.84,43.1,20.9,100,9,1227,High,15.1,179,Excellent,Clay,None,Soybean,271,Yes,Yes,88,Excellent
258,Pumpkin,4.37,113,13,73,51,3.58,35.2,21.7,109,13,1096,Severe,15.0,263,Good,Sandy,Moderate,Fallow,19,No,Yes,77,Good
259,Rice,5.03,24,18,96,53,2.39,41.1,-1.9,139,42,2355,Severe,5.1,129,Good,Silty,Low,Fallow,110,Yes,No,28,Poor
260,Lettuce,7.5,23,27,21,57,6.51,40.2,30.5,33,35,1172,None,16.9,265,Very_Poor,Clay,Moderate,None,363,No,No,21,Poor
261,Oak_Tree,7.26,124,75,53,48,7.72,-2.1,-4.1,66,19,744,Low,16.2,207,Good,Loamy,High,Vegetable,271,Yes,Yes,75,Good
262,Pumpkin,4.64,111,66,58,29,9.76,4.2,24.4,79,38,2415,Low,14.8,258,Moderate,Sandy,None,Corn,253,Yes,No,48,Fair
263,Wheat,8.28,112,52,39,99,1.47,39.1,20.4,106,8,2733,Severe,2.1,51,Excellent,Clay,None,Fallow,44,Yes,Yes,88,Excellent
264,Potato,6.18,82,91,90,4,5.24,12.6,43.8,79,33,627,Low,13.0,52,Poor,Clay_Loam,None,None,21,No,No,54,Fair
265,Cotton,4.03,141,45,63,78,13.14,29.3,20.1,148,7,1442,Moderate,17.3,249,Moderate,Sandy_Loam,None,Wheat,207,Yes,Yes,95,Excellent
266,Tomato,6.63,95,75,11,19,14.81,13.0,19.1,101,29,800,None,5.9,213,Very_Poor,Sandy_Loam,Moderate,Fallow,176,Yes,Yes,83,Excellent
267,Oak_Tree,4.95,27,59,90,31,4.66,4.2,30.1,14,15,2745,Severe,13.8,182,Excellent,Clay,High,Vegetable,265,Yes,No,29,Poor
268,Pumpkin,6.77,131,64,48,23,2.03,43.4,-8.2,101,28,1486,Low,14.9,284,Excellent,Loamy,Moderate,Fallow,39,No,Yes,73,Good
269,Wheat,6.44,81,55,97,87,7.82,27.2,20.8,12,9,2299,High,11.4,155,Moderate,Loamy,High,Soybean,121,No,Yes,71,Good
270,Soybean,7.98,27,60,5,23,1.59,39.2,40.3,84,8,469,Moderate,12.1,213,Good,Loamy,High,None,102,Yes,No,20,Poor
271,Tomato,7.39,36,47,32,26,5.06,-3.4,40.8,104,4,1478,High,12.8,132,Excellent,Clay,Moderate,Vegetable,25,No,No,3,Very_Poor
272,Pumpkin,5.87,138,80,76,69,14.52,15.4,10.3,103,31,2611,Severe,13.5,85,Excellent,Sandy_Loam,Moderate,Vegetable,283,Yes,Yes,69,Good
273,Strawberry,8.48,70,12,90,68,5.09,14.0,34.3,88,14,1922,Low,13.3,300,Good,Clay_Loam,Low,Soybean,119,No,No,50,Fair
274,Pine_Tree,4.46,20,98,53,92,12.68,27.1,41.9,26,22,2853,Severe,2.4,56,Moderate,Sandy_Loam,Moderate,Corn,66,No,No,43,Fair
275,Sunflower,4.5,111,29,20,59,7.63,19.1,-4.1,89,32,1042,Moderate,10.3,179,Good,Clay_Loam,Low,Wheat,193,No,No,49,Fair
276,Pumpkin,4.14,41,23,33,3,1.12,15.2,-7.0,141,39,664,Moderate,16.9,266,Good,Sandy_Loam,None,None,300,Yes,No,19,Very_Poor
277,Carrot,8.62,40,63,45,95,12.56,37.0,32.6,15,5,2823,Low,2.6,136,Poor,Loamy,Moderate,Corn,119,No,No,49,Fair
278,Oak_Tree,7.88,7,76,4,54,2.16,-4.0,30.1,15,14,2799,Moderate,12.0,125,Excellent,Loamy,Moderate,Vegetable,231,Yes,No,59,Fair
279,Oak_Tree,7.44,24,20,20,60,14.94,7.8,5.4,72,24,2270,High,4.6,31,Excellent,Sandy,None,Wheat,284,No,Yes,97,Excellent
280,Rice,5.06,21,29,50,19,2.39,43.9,38.4,40,12,625,Moderate,17.4,91,Poor,Loamy,None,Wheat,334,Yes,No,54,Fair
281,Rice,4.44,25,9,116,93,3.67,43.4,28.1,78,14,1805,Severe,5.0,152,Excellent,Clay,Moderate,Soybean,91,Yes,No,50,Fair
282,Tomato,8.83,46,79,73,81,10.38,39.5,38.5,66,20,1913,High,13.0,290,Poor,Clay_Loam,High,Soybean,80,Yes,No,22,Poor
283,Tomato,8.64,101,44,105,45,5.62,42.2,8.6,141,24,1269,Moderate,2.6,249,Good,Clay,High,Fallow,50,No,No,28,Poor
284,Rice,4.06,5,89,15,31,5.67,11.4,19.3,141,42,663,Low,15.8,288,Poor,Clay_Loam,None,Soybean,365,No,No,13,Very_Poor
285,Tomato,6.51,84,50,110,93,2.67,38.3,33.3,16,21,2763,Severe,11.1,234,Poor,Clay,None,None,310,Yes,Yes,83,Excellent
286,Wheat,5.67,65,74,38,83,14.81,3.1,41.5,45,17,1968,High,9.3,47,Good,Loamy,High,Fallow,54,Yes,No,58,Fair
287,Sunflower,8.08,74,89,27,39,12.21,30.8,37.8,104,22,2437,Moderate,5.7,205,Moderate,Sandy,Low,Vegetable,247,Yes,Yes,72,Good
288,Potato,4.11,124,7,112,68,11.9,20.5,42.4,145,22,2524,Moderate,3.0,69,Excellent,Sandy,High,Soybean,187,No,No,47,Fair
289,Pine_Tree,8.42,110,71,76,15,12.06,39.6,12.2,36,8,2835,Moderate,12.9,87,Excellent,Clay_Loam,High,Fallow,253,Yes,No,59,Fair
290,Apple_Tree,4.63,13,79,23,24,5.71,40.0,24.4,93,34,2935,Severe,11.7,243,Very_Poor,Clay_Loam,None,Fallow,260,Yes,No,10,Very_Poor
291,Soybean,7.67,52,2,35,9,4.9,-2.5,14.6,117,10,447,Moderate,13.6,42,Poor,Loamy,Low,Soybean,91,Yes,No,45,Fair
292,Corn,5.87,60,30,64,71,11.32,27.7,13.6,45,31,1164,Low,12.7,72,Excellent,Sandy,Low,Wheat,204,Yes,Yes,84,Excellent
293,Sunflower,5.87,119,68,68,99,10.51,24.8,8.2,128,21,1504,Moderate,10.1,251,Excellent,Sandy,High,None,96,No,Yes,63,Good
294,Potato,7.27,75,56,69,29,12.39,40.8,42.8,42,17,2823,None,16.8,54,Very_Poor,Sandy_Loam,High,None,262,No,No,23,Poor
295,Potato,8.7,35,27,48,62,13.25,38.4,32.2,97,29,1150,None,10.4,141,Excellent,Sandy,Low,Vegetable,246,Yes,No,44,Fair
296,Corn,6.51,113,29,27,70,1.99,-1.1,21.5,48,0,886,Moderate,14.9,266,Moderate,Sandy,Moderate,Soybean,64,No,Yes,91,Excellent
297,Strawberry,4.69,42,47,16,31,0.19,35.8,-2.8,129,34,2414,Low,4.0,275,Excellent,Clay_Loam,Moderate,Fallow,84,Yes,No,16,Very_Poor
298,Lettuce,8.98,56,73,104,39,12.52,-0.4,-7.9,51,10,1261,None,9.6,176,Excellent,Silty,Low,Vegetable,46,Yes,No,57,Fair
299,Cotton,7.08,125,25,91,82,0.33,24.3,34.5,114,9,1064,High,5.5,46,Moderate,Loamy,Moderate,Corn,205,Yes,Yes,100,Excellent
300,Pumpkin,6.24,18,26,64,29,11.19,-0.9,25.0,97,33,101,High,8.1,220,Poor,Silty,High,Fallow,34,Yes,No,33,Poor
301,Soybean,7.79,27,23,38,18,6.07,21.4,15.7,128,5,570,None,15.1,22,Good,Silty,None,Fallow,353,No,No,32,Poor
302,Oak_Tree,7.1,89,6,79,80,11.98,32.6,16.8,62,28,1370,None,4.1,280,Good,Clay,Moderate,Vegetable,224,Yes,Yes,100,Excellent
303,Pumpkin,6.27,5,21,53,22,2.64,41.8,33.0,92,38,744,Moderate,9.3,21,Poor,Sandy_Loam,Moderate,Vegetable,260,Yes,No,41,Fair
304,Apple_Tree,8.62,16,10,43,96,9.3,27.0,39.7,64,11,2775,High,5.7,221,Poor,Silty,None,Wheat,114,Yes,No,35,Poor
305,Soybean,4.31,4,23,82,43,5.98,5.3,9.1,134,25,197,High,7.3,130,Moderate,Sandy_Loam,High,Soybean,146,Yes,No,12,Very_Poor
306,Carrot,7.36,98,0,31,23,8.43,-3.9,19.4,36,35,2158,Severe,2.8,288,Poor,Sandy_Loam,None,None,294,Yes,No,57,Fair
307,Oak_Tree,4.88,14,76,89,15,6.11,35.7,4.6,111,27,1886,Low,10.1,34,Good,Clay,None,Wheat,61,No,No,37,Poor
308,Carrot,5.01,94,90,45,62,0.88,34.6,14.4,149,17,40,Low,14.1,135,Moderate,Sandy_Loam,Moderate,Corn,319,No,Yes,97,Excellent
309,Tomato,7.71,16,22,82,22,4.53,31.0,34.6,63,21,2867,High,16.6,16,Very_Poor,Silty,High,None,67,Yes,No,4,Very_Poor
310,Lettuce,5.78,138,26,70,18,9.27,35.6,-4.3,142,33,2816,None,3.3,130,Excellent,Sandy,Low,Soybean,221,No,No,46,Fair
311,Cotton,7.14,88,67,45,4,4.68,38.8,31.7,104,32,80,Moderate,14.7,241,Very_Poor,Silty,Moderate,Vegetable,110,Yes,No,57,Fair
312,Pumpkin,4.09,55,25,70,58,13.48,27.0,-2.1,12,32,369,Severe,16.1,285,Poor,Sandy,High,Corn,205,Yes,No,3,Very_Poor
313,Sunflower,8.69,27,33,59,36,6.16,36.2,-4.0,94,10,973,None,8.6,121,Good,Sandy,Low,Fallow,175,No,No,37,Poor
314,Lettuce,8.82,4,79,51,86,11.04,11.0,35.5,111,20,2233,High,12.9,112,Moderate,Clay,Low,Wheat,329,Yes,No,26,Poor
315,Soybean,8.93,61,38,111,0,5.3,22.2,11.2,21,44,2549,Moderate,17.3,63,Moderate,Sandy,None,Wheat,260,Yes,No,17,Very_Poor
316,Soybean,4.73,12,37,37,76,11.76,8.0,-9.6,115,6,1275,Severe,9.3,17,Poor,Clay_Loam,Low,Soybean,294,No,No,17,Very_Poor
317,Soybean,5.2,101,64,115,96,14.09,30.4,8.7,61,37,1687,None,9.5,73,Poor,Sandy,Low,Vegetable,193,No,No,51,Fair
318,Sunflower,5.66,113,21,113,71,2.82,-1.2,18.1,110,3,840,None,17.9,289,Very_Poor,Silty,None,Soybean,73,Yes,Yes,100,Excellent
319,Cotton,6.48,145,44,82,48,10.99,32.1,26.4,97,44,732,High,10.8,260,Moderate,Silty,None,None,93,No,Yes,79,Good
320,Corn,4.91,10,20,55,43,10.27,15.7,-8.8,144,20,2997,Severe,17.4,260,Good,Clay,None,Fallow,214,No,No,28,Poor
321,Lettuce,6.09,90,12,13,50,2.51,28.9,12.0,80,28,1365,Severe,10.6,92,Moderate,Sandy,Moderate,Vegetable,156,No,Yes,79,Good
322,Apple_Tree,6.71,71,71,114,52,3.19,15.9,33.3,35,12,2259,None,16.2,182,Excellent,Sandy,None,Wheat,71,No,Yes,93,Excellent
323,Pine_Tree,7.8,72,88,19,61,14.68,43.1,-1.0,75,2,892,None,17.5,125,Moderate,Loamy,Moderate,None,176,No,Yes,75,Good
324,Oak_Tree,5.77,76,93,95,70,9.08,-3.8,-1.4,80,27,1617,None,11.3,268,Good,Clay_Loam,Low,Wheat,228,No,Yes,83,Excellent
325,Cotton,8.92,59,46,59,79,12.67,7.8,12.8,71,29,70,Low,3.2,60,Excellent,Loamy,None,Corn,316,Yes,Yes,63,Good
326,Sunflower,8.24,124,33,68,66,14.15,19.3,25.5,135,37,1123,None,5.5,275,Very_Poor,Silty,Low,Fallow,116,Yes,Yes,71,Good
327,Rice,8.37,26,88,41,7,14.39,8.9,1.8,106,5,807,Low,6.4,195,Very_Poor,Loamy,High,Soybean,301,No,No,0,Very_Poor
328,Carrot,5.85,87,57,2,35,14.54,-1.2,1.8,80,7,1210,Severe,14.5,164,Excellent,Silty,Low,Soybean,152,No,Yes,74,Good
329,Pine_Tree,8.73,15,76,118,34,8.47,23.3,0.2,46,13,1385,Severe,16.6,261,Excellent,Sandy,Low,Corn,71,Yes,No,50,Fair
330,Potato,6.99,98,15,7,93,5.52,44.1,11.2,30,15,1261,High,10.9,222,Poor,Clay,None,None,186,No,Yes,77,Good
331,Strawberry,6.92,42,48,28,46,9.5,30.5,42.7,75,17,1680,Moderate,2.6,39,Excellent,Sandy_Loam,High,Soybean,287,No,No,49,Fair
332,Apple_Tree,4.27,141,55,113,54,10.52,35.6,5.7,135,31,1911,Severe,16.0,289,Good,Sandy_Loam,High,None,230,No,No,41,Fair
333,Potato,7.33,92,56,109,84,1.88,1.3,31.4,28,3,2000,Low,15.4,145,Very_Poor,Silty,Moderate,Soybean,9,No,No,33,Poor
334,Oak_Tree,6.59,8,12,36,46,0.59,25.4,23.1,87,31,2823,Moderate,8.3,276,Excellent,Loamy,None,Soybean,81,Yes,Yes,92,Excellent
335,Apple_Tree,8.1,140,48,27,15,12.79,43.8,16.0,73,34,1023,Moderate,6.4,25,Very_Poor,Loamy,Low,Vegetable,251,No,No,38,Poor
336,Rice,4.88,103,2,80,18,7.1,27.5,-7.4,47,0,94,Low,16.0,32,Excellent,Silty,Moderate,Corn,204,Yes,No,49,Fair
337,Soybean,7.06,24,51,10,30,2.91,42.7,41.1,139,18,580,Low,7.7,222,Excellent,Sandy_Loam,None,Wheat,105,No,No,51,Fair
338,Cotton,6.29,117,0,5,71,3.33,13.8,38.3,18,24,2172,High,4.3,110,Moderate,Sandy_Loam,Moderate,Fallow,172,Yes,Yes,79,Good
339,Carrot,4.45,133,14,55,65,7.26,1.6,19.6,80,43,2295,High,7.4,43,Very_Poor,Sandy,High,None,261,Yes,No,31,Poor
340,Carrot,7.64,111,28,52,93,12.59,9.3,32.9,43,34,686,Moderate,13.7,25,Good,Clay_Loam,High,Corn,328,No,No,31,Poor
341,Pumpkin,6.7,133,82,12,56,13.28,6.3,17.6,95,41,1238,Severe,17.1,255,Excellent,Clay_Loam,High,None,246,No,Yes,64,Good
342,Pine_Tree,6.74,131,87,35,2,10.18,39.6,18.4,108,33,1854,Severe,14.4,286,Moderate,Sandy_Loam,Moderate,Vegetable,262,No,No,39,Poor
